Soil_Type,Farm_Area_acres,Water_Availability_L_per_week,Irrigation_Type,Fertilizer_Used_kg,Season,Rainfall_mm,Temperature_C,Soil_pH,Crop
Loamy,5.13,1127,Sprinkler,31,Kharif,862,30,6.7,Cotton
Sandy,2.16,313,Sprinkler,96,Rabi,730,35,8.0,Pulses
Clay,0.62,288,Flood,47,Rabi,716,24,7.2,Wheat
Silty,4.36,481,Rainfed,106,Rabi,359,24,7.1,Tomato
Peaty,5.61,435,Drip,21,Rabi,254,40,5.5,Sugarcane
Peaty,1.44,711,Flood,138,Summer,320,38,5.9,Onion
Silty,5.76,1038,Flood,172,Rabi,1135,30,6.8,Cotton
Peaty,1.56,1240,Drip,190,Kharif,100,20,7.6,Cotton
Silty,2.13,733,Flood,175,Rabi,567,35,7.9,Cotton
Sandy,4.03,390,Flood,199,Rabi,1112,34,8.4,Pulses
Peaty,3.98,299,Sprinkler,151,Rabi,552,33,8.4,Maize
Silty,6.66,1256,Rainfed,151,Summer,849,19,6.4,Tomato
Loamy,5.54,1227,Rainfed,63,Rabi,408,38,8.1,Wheat
Clay,0.97,1374,Drip,85,Kharif,524,31,7.3,Rice
Loamy,7.62,1149,Rainfed,88,Summer,1186,32,5.9,Tomato
Loamy,4.72,529,Drip,168,Summer,986,21,7.2,Tomato
Silty,8.28,272,Sprinkler,70,Rabi,847,21,7.8,Maize
Sandy,1.93,856,Sprinkler,69,Rabi,443,22,5.8,Sugarcane
Silty,0.95,1474,Sprinkler,31,Summer,1116,30,8.4,Tomato
Peaty,5.78,1432,Sprinkler,33,Summer,336,22,6.9,Onion
Clay,1.1,500,Rainfed,115,Summer,713,25,7.7,Tomato
Silty,5.13,405,Drip,68,Summer,285,28,6.9,Tomato
Loamy,3.34,961,Drip,29,Kharif,923,31,7.5,Maize
Silty,4.31,1216,Sprinkler,154,Rabi,278,32,6.9,Maize
Peaty,6.05,469,Rainfed,165,Summer,1127,39,6.0,Tomato
Sandy,8.86,204,Drip,157,Kharif,789,38,8.4,Pulses
Sandy,3.85,568,Rainfed,53,Kharif,201,20,6.6,Pulses
Sandy,5.4,1042,Sprinkler,80,Summer,977,19,7.4,Tomato
Sandy,9.56,1326,Flood,84,Kharif,1102,26,7.8,Rice
Sandy,5.21,1395,Drip,63,Rabi,733,30,7.5,Onion
Loamy,9.16,1000,Flood,78,Rabi,312,27,6.1,Wheat
Sandy,2.06,898,Sprinkler,127,Summer,198,21,7.2,Onion
Sandy,7.71,906,Rainfed,151,Rabi,733,32,7.8,Maize
Clay,1.65,1003,Flood,42,Summer,688,32,7.2,Rice
Peaty,3.6,470,Flood,159,Summer,388,29,6.0,Onion
Clay,6.34,619,Drip,167,Kharif,621,20,8.0,Cotton
Sandy,7.05,1258,Drip,199,Summer,711,31,7.1,Tomato
Clay,9.91,1103,Drip,148,Kharif,661,31,7.0,Rice
Loamy,6.75,616,Drip,103,Summer,804,19,7.1,Onion
Sandy,8.97,780,Drip,62,Kharif,622,29,7.3,Cotton
Sandy,9.4,1418,Flood,182,Summer,1012,34,7.5,Onion
Sandy,1.69,1288,Flood,145,Rabi,599,34,7.9,Onion
Peaty,4.49,529,Flood,99,Rabi,276,35,5.7,Tomato
Silty,9.2,478,Drip,200,Kharif,582,23,7.2,Rice
Silty,3.64,1325,Sprinkler,48,Kharif,805,35,6.0,Maize
Peaty,4.17,1066,Flood,166,Summer,414,20,6.4,Tomato
Silty,8.87,1127,Flood,61,Rabi,585,40,6.8,Cotton
Loamy,6.95,737,Drip,99,Rabi,1109,38,7.1,Wheat
Loamy,2.46,517,Flood,127,Kharif,662,26,5.5,Rice
Silty,8.46,1131,Sprinkler,35,Kharif,331,25,7.9,Maize
Silty,2.22,637,Rainfed,169,Kharif,657,38,5.7,Maize
Sandy,3.56,1079,Drip,105,Rabi,1110,22,6.1,Tomato
Silty,3.28,209,Flood,143,Summer,519,31,7.0,Onion
Silty,5.71,1415,Sprinkler,83,Kharif,1166,23,7.5,Maize
Silty,7.02,1147,Flood,152,Summer,254,28,7.8,Tomato
Peaty,8.88,213,Sprinkler,61,Summer,425,30,7.0,Onion
Sandy,3.55,1251,Flood,85,Rabi,199,27,5.5,Sugarcane
Loamy,8.55,1473,Rainfed,67,Kharif,124,20,7.8,Cotton
Clay,9.9,499,Rainfed,93,Summer,788,22,5.5,Onion
Clay,8.85,1126,Sprinkler,159,Summer,276,19,7.4,Rice
Peaty,8.16,581,Sprinkler,150,Kharif,594,28,7.7,Maize
Silty,9.17,382,Drip,142,Rabi,109,32,5.8,Onion
Sandy,3.99,1467,Rainfed,151,Kharif,674,36,7.8,Maize
Peaty,5.82,958,Rainfed,64,Kharif,200,23,6.9,Rice
Clay,4.14,349,Rainfed,158,Kharif,106,31,6.5,Cotton
Silty,6.21,1389,Sprinkler,26,Rabi,619,37,8.1,Maize
Loamy,4.13,551,Drip,139,Rabi,414,26,6.9,Wheat
Silty,6.8,1215,Drip,45,Rabi,353,23,7.9,Tomato
Clay,7.21,466,Flood,29,Rabi,392,26,8.0,Wheat
Clay,7.4,497,Flood,43,Summer,1156,25,5.7,Tomato
Peaty,1.55,1244,Drip,140,Rabi,948,32,7.6,Maize
Peaty,5.17,834,Sprinkler,159,Summer,529,34,6.9,Tomato
Loamy,1.85,483,Drip,167,Kharif,1112,20,7.1,Maize
Loamy,1.83,1275,Rainfed,24,Kharif,1011,35,7.0,Rice
Silty,3.04,644,Sprinkler,157,Rabi,940,25,6.8,Pulses
Loamy,7.01,486,Sprinkler,51,Summer,727,33,7.2,Tomato
Sandy,6.14,1367,Drip,64,Kharif,1049,21,7.4,Rice
Peaty,3.9,1181,Rainfed,126,Rabi,196,18,6.4,Maize
Clay,6.74,1080,Sprinkler,43,Kharif,198,32,6.7,Rice
Clay,4.99,634,Drip,194,Kharif,326,27,6.0,Rice
Silty,3.29,1156,Drip,66,Rabi,780,30,5.8,Rice
Clay,6.57,1038,Drip,86,Rabi,809,22,7.7,Rice
Sandy,6.42,261,Drip,143,Summer,290,39,6.3,Pulses
Sandy,8.52,782,Rainfed,104,Rabi,354,40,7.9,Tomato
Loamy,7.51,734,Sprinkler,158,Rabi,872,18,7.8,Wheat
Clay,8.58,1197,Drip,26,Rabi,610,32,7.1,Rice
Sandy,6.82,605,Rainfed,36,Kharif,727,26,8.0,Cotton
Silty,2.47,1378,Flood,179,Rabi,108,25,6.2,Pulses
Loamy,1.35,791,Flood,166,Kharif,708,36,6.6,Rice
Loamy,5.37,1120,Flood,121,Kharif,673,35,8.0,Maize
Clay,4.64,1231,Flood,74,Summer,117,30,7.5,Rice
Peaty,7.09,1013,Flood,190,Kharif,414,30,6.3,Rice
Loamy,1.34,1420,Flood,167,Summer,221,21,5.5,Tomato
Clay,3.49,1254,Sprinkler,77,Summer,844,21,6.8,Rice
Sandy,1.86,816,Sprinkler,80,Rabi,810,38,7.7,Wheat
Sandy,6.5,799,Flood,62,Summer,636,37,7.9,Onion
Sandy,4.36,1184,Sprinkler,143,Summer,482,37,7.7,Onion
Peaty,7.07,302,Drip,160,Rabi,282,30,7.2,Rice
Sandy,5.09,475,Sprinkler,36,Kharif,1164,27,7.9,Pulses
Clay,9.18,521,Rainfed,121,Rabi,130,36,6.0,Rice
Peaty,9.56,742,Rainfed,182,Summer,1198,40,5.8,Onion
Peaty,6.42,1415,Rainfed,199,Summer,777,18,6.1,Tomato
Silty,5.06,1194,Drip,31,Kharif,193,38,7.4,Rice
Sandy,5.0,599,Rainfed,177,Summer,354,38,5.9,Pulses
Clay,4.73,421,Sprinkler,145,Rabi,945,29,7.6,Tomato
Loamy,9.82,1484,Sprinkler,20,Kharif,185,33,8.5,Cotton
Peaty,5.21,394,Drip,144,Summer,787,22,8.5,Tomato
Sandy,3.39,213,Drip,67,Kharif,685,32,7.3,Pulses
Clay,4.02,1342,Rainfed,38,Rabi,392,20,6.5,Rice
Sandy,2.67,1083,Flood,152,Kharif,623,21,6.8,Rice
Silty,2.73,750,Rainfed,84,Kharif,770,25,7.0,Rice
Peaty,1.48,1350,Rainfed,121,Summer,407,31,6.8,Tomato
Clay,4.32,230,Drip,25,Rabi,454,29,6.0,Pulses
Silty,5.1,1026,Flood,158,Kharif,947,26,7.9,Cotton
Sandy,9.93,383,Sprinkler,34,Kharif,283,36,7.5,Pulses
Sandy,7.88,680,Sprinkler,111,Summer,788,20,7.5,Tomato
Peaty,7.76,1384,Rainfed,179,Kharif,150,35,6.2,Cotton
Loamy,9.46,740,Flood,109,Rabi,931,19,8.4,Wheat
Clay,7.72,509,Flood,189,Rabi,1182,29,6.5,Onion
Loamy,9.56,215,Sprinkler,155,Rabi,1116,25,6.4,Wheat
Loamy,3.1,1482,Sprinkler,37,Kharif,569,23,7.4,Cotton
Peaty,5.44,210,Flood,145,Summer,697,30,6.8,Onion
Clay,5.23,1437,Sprinkler,67,Kharif,1164,22,8.3,Rice
Peaty,7.12,327,Rainfed,143,Kharif,722,39,8.3,Cotton
Silty,3.19,1180,Flood,88,Summer,947,19,8.3,Onion
Clay,5.81,693,Flood,111,Rabi,1114,23,7.9,Pulses
Silty,5.71,522,Drip,188,Summer,253,31,7.8,Tomato
Loamy,9.24,668,Sprinkler,188,Rabi,554,32,7.7,Wheat
Loamy,8.97,768,Drip,73,Kharif,262,24,5.7,Maize
Peaty,2.45,1279,Sprinkler,158,Summer,422,32,5.8,Tomato
Loamy,3.12,1172,Sprinkler,93,Summer,679,36,6.5,Onion
Sandy,1.61,402,Rainfed,188,Rabi,503,22,7.5,Pulses
Clay,2.92,875,Drip,113,Rabi,907,30,7.2,Sugarcane
Loamy,1.23,998,Sprinkler,69,Kharif,704,38,5.6,Cotton
Sandy,2.51,393,Drip,45,Rabi,1127,23,6.5,Pulses
Peaty,5.82,750,Sprinkler,151,Summer,670,39,6.4,Tomato
Loamy,6.01,1178,Rainfed,122,Kharif,661,18,6.3,Maize
Silty,8.89,1239,Flood,194,Rabi,417,33,8.2,Wheat
Sandy,2.46,1005,Flood,30,Summer,640,24,6.3,Onion
Peaty,4.75,403,Sprinkler,62,Kharif,737,36,8.0,Maize
Peaty,7.06,1065,Drip,156,Summer,934,18,6.1,Onion
Sandy,9.47,259,Rainfed,140,Summer,631,27,8.3,Pulses
Silty,2.37,652,Flood,98,Summer,533,25,7.9,Onion
Peaty,6.17,933,Drip,103,Rabi,622,27,7.5,Sugarcane
Sandy,7.23,1412,Drip,178,Summer,935,39,8.5,Tomato
Clay,4.77,552,Rainfed,121,Summer,585,22,8.4,Onion
Peaty,8.7,1413,Flood,37,Summer,880,36,6.7,Tomato
Clay,7.32,998,Flood,86,Rabi,720,27,7.0,Rice
Sandy,0.9,561,Drip,21,Rabi,125,34,7.0,Pulses
Silty,0.55,1192,Rainfed,84,Kharif,759,23,6.7,Maize
Clay,8.12,681,Drip,95,Summer,535,19,6.2,Tomato
Silty,4.97,1393,Flood,145,Kharif,471,18,5.6,Maize
Sandy,4.81,377,Rainfed,165,Rabi,1029,23,6.6,Pulses
Silty,4.66,625,Sprinkler,132,Summer,1035,25,7.1,Onion
Peaty,4.03,1077,Drip,66,Summer,1084,29,5.7,Tomato
Silty,1.84,1394,Rainfed,137,Summer,363,21,8.1,Tomato
Sandy,5.61,446,Sprinkler,21,Summer,417,27,5.8,Pulses
Loamy,4.67,421,Flood,27,Kharif,734,39,8.0,Maize
Sandy,6.42,471,Flood,93,Summer,986,22,7.5,Pulses
Silty,1.49,1404,Flood,57,Kharif,572,35,6.1,Maize
Loamy,5.54,1164,Rainfed,52,Rabi,352,20,6.6,Wheat
Silty,8.13,519,Sprinkler,195,Summer,983,22,5.8,Tomato
Peaty,8.32,1082,Drip,92,Summer,558,34,6.8,Onion
Sandy,6.3,569,Drip,70,Summer,470,31,7.8,Pulses
Loamy,7.53,839,Rainfed,62,Rabi,393,35,6.8,Wheat
Peaty,7.23,1200,Rainfed,99,Summer,207,39,6.1,Onion
Sandy,6.18,649,Flood,140,Rabi,821,23,6.1,Tomato
Loamy,2.69,436,Flood,185,Rabi,424,21,6.5,Wheat
Loamy,7.39,237,Flood,91,Rabi,834,25,6.4,Wheat
Clay,2.28,504,Flood,22,Rabi,245,30,6.9,Rice
Sandy,0.75,1041,Rainfed,193,Summer,891,30,7.1,Tomato
Peaty,7.71,291,Flood,110,Kharif,354,18,8.1,Rice
Clay,9.37,612,Sprinkler,105,Rabi,403,33,8.3,Maize
Silty,6.07,1204,Drip,35,Rabi,1074,19,7.7,Sugarcane
Clay,4.92,435,Sprinkler,105,Summer,491,39,8.3,Onion
Peaty,3.61,1378,Drip,25,Kharif,670,26,8.0,Rice
Silty,2.26,524,Rainfed,71,Rabi,999,26,6.9,Tomato
Peaty,6.81,998,Flood,112,Rabi,1109,24,5.6,Maize
Loamy,4.87,811,Drip,112,Kharif,961,34,6.8,Rice
Peaty,5.58,1069,Sprinkler,59,Rabi,678,25,7.1,Cotton
Silty,7.48,337,Rainfed,111,Kharif,119,18,7.6,Rice
Clay,4.73,1207,Sprinkler,105,Summer,1119,40,8.2,Rice
Loamy,6.11,942,Sprinkler,59,Rabi,375,27,5.8,Wheat
Peaty,7.93,793,Flood,29,Summer,516,18,6.9,Tomato
Clay,3.97,1114,Drip,96,Rabi,1100,26,7.5,Rice
Sandy,9.48,413,Sprinkler,164,Summer,689,40,5.7,Pulses
Clay,4.23,1167,Sprinkler,32,Summer,365,33,8.2,Rice
Loamy,7.54,327,Rainfed,84,Rabi,850,36,7.7,Wheat
Clay,8.04,862,Drip,90,Rabi,766,40,7.8,Maize
Sandy,7.57,441,Sprinkler,121,Summer,1045,37,6.9,Pulses
Sandy,2.67,499,Drip,54,Summer,898,27,5.6,Pulses
Loamy,5.51,1167,Drip,121,Rabi,213,28,8.0,Wheat
Sandy,6.52,393,Sprinkler,96,Rabi,541,26,7.0,Pulses
Peaty,7.93,1091,Rainfed,177,Summer,1115,35,7.1,Onion
Silty,5.41,341,Sprinkler,129,Kharif,201,20,8.1,Rice
Sandy,5.3,1165,Rainfed,143,Summer,281,26,7.1,Onion
Loamy,2.24,629,Sprinkler,164,Rabi,606,38,7.8,Wheat
Loamy,8.65,520,Sprinkler,88,Rabi,681,26,6.5,Wheat
Sandy,2.88,322,Drip,108,Kharif,1200,35,6.1,Pulses
Clay,3.16,1207,Sprinkler,40,Rabi,1012,34,7.2,Rice
Sandy,7.45,267,Drip,176,Summer,679,25,7.7,Pulses
Loamy,3.77,672,Sprinkler,26,Rabi,597,40,7.7,Wheat
Peaty,6.1,840,Drip,21,Kharif,1143,36,7.7,Maize
Clay,4.25,512,Flood,143,Kharif,1103,34,6.2,Rice
Peaty,9.79,979,Drip,174,Rabi,1190,39,8.2,Maize
Sandy,3.26,827,Drip,158,Kharif,292,29,7.6,Rice
Sandy,2.17,1290,Sprinkler,189,Rabi,404,35,8.1,Cotton
Clay,1.86,1281,Flood,56,Kharif,1133,22,7.8,Rice
Silty,3.29,631,Drip,79,Rabi,582,32,7.5,Rice
Loamy,7.95,414,Rainfed,84,Kharif,1068,22,8.3,Cotton
Clay,6.94,1037,Drip,117,Kharif,239,24,6.6,Rice
Sandy,4.44,1037,Rainfed,113,Summer,198,31,8.1,Onion
Silty,0.56,1302,Sprinkler,25,Rabi,150,23,8.1,Cotton
Silty,3.24,305,Rainfed,127,Rabi,336,40,6.0,Wheat
Sandy,4.09,203,Sprinkler,121,Kharif,1191,29,7.3,Pulses
Loamy,1.6,333,Flood,161,Rabi,1174,25,6.7,Wheat
Sandy,0.75,446,Flood,88,Rabi,598,18,6.6,Pulses
Peaty,4.28,1126,Rainfed,165,Kharif,1169,32,7.1,Cotton
Sandy,4.34,803,Sprinkler,174,Summer,769,19,7.7,Onion
Peaty,5.28,729,Sprinkler,51,Rabi,430,30,6.8,Maize
Loamy,2.85,1399,Flood,155,Summer,981,36,7.7,Onion
Silty,2.72,860,Drip,92,Summer,958,19,7.0,Onion
Loamy,4.09,1327,Flood,50,Kharif,1043,25,5.9,Cotton
Clay,0.58,248,Flood,146,Summer,669,27,8.2,Tomato
Loamy,5.76,921,Sprinkler,120,Rabi,669,36,6.8,Wheat
Clay,8.64,332,Drip,38,Rabi,831,34,7.1,Onion
Peaty,5.65,1191,Flood,137,Summer,776,24,6.9,Onion
Sandy,5.22,1305,Sprinkler,122,Kharif,798,36,7.1,Rice
Peaty,8.33,407,Rainfed,20,Summer,741,20,6.2,Onion
Silty,4.66,395,Rainfed,110,Summer,228,29,8.2,Onion
Silty,4.95,228,Flood,23,Rabi,877,39,7.2,Maize
Silty,8.68,860,Flood,48,Rabi,224,24,7.6,Maize
Loamy,2.63,363,Drip,185,Kharif,398,38,7.8,Cotton
Peaty,7.06,971,Sprinkler,32,Summer,1177,21,5.6,Tomato
Peaty,4.42,391,Sprinkler,30,Summer,141,25,8.1,Tomato
Clay,8.94,1296,Rainfed,98,Rabi,516,24,6.7,Rice
Silty,0.82,759,Rainfed,170,Kharif,724,24,7.2,Rice
Peaty,7.47,787,Drip,28,Rabi,449,36,6.0,Onion
Peaty,5.51,1226,Drip,53,Kharif,205,36,6.0,Cotton
Silty,8.58,1278,Rainfed,58,Kharif,677,32,7.1,Maize
Silty,4.21,1262,Sprinkler,154,Rabi,871,29,5.9,Onion
Silty,5.74,1121,Drip,121,Rabi,352,29,7.3,Tomato
Peaty,7.37,549,Rainfed,83,Summer,616,28,6.8,Tomato
Peaty,6.85,1014,Sprinkler,150,Kharif,448,38,8.1,Cotton
Sandy,7.68,1208,Rainfed,138,Kharif,422,18,7.1,Maize
Silty,5.84,636,Sprinkler,20,Summer,901,22,6.9,Tomato
Peaty,6.51,1054,Drip,200,Kharif,883,28,7.6,Maize
Loamy,4.06,850,Rainfed,65,Rabi,116,36,5.9,Wheat
Sandy,6.02,210,Flood,171,Kharif,981,22,7.7,Pulses
Loamy,6.2,1116,Sprinkler,170,Summer,197,27,7.9,Onion
Loamy,5.59,820,Flood,198,Kharif,821,28,5.6,Maize
Sandy,3.9,1357,Flood,134,Rabi,692,37,6.2,Maize
Clay,0.54,284,Drip,60,Kharif,512,29,7.0,Cotton
Loamy,4.3,1182,Flood,94,Kharif,1063,28,6.6,Cotton
Silty,2.46,656,Flood,70,Summer,1108,39,5.9,Tomato
Clay,9.16,1279,Rainfed,53,Summer,939,22,6.4,Rice
Clay,9.86,521,Rainfed,67,Summer,246,37,7.6,Tomato
Clay,9.46,958,Drip,41,Kharif,1057,18,6.1,Rice
Peaty,9.64,1381,Sprinkler,134,Kharif,230,24,8.0,Rice
Loamy,1.84,892,Rainfed,197,Kharif,886,33,7.9,Cotton
Loamy,3.87,662,Sprinkler,55,Summer,974,28,7.1,Tomato
Clay,8.72,591,Flood,92,Kharif,738,36,6.3,Rice
Sandy,8.96,1146,Rainfed,159,Kharif,593,26,6.6,Cotton
Peaty,8.96,751,Sprinkler,65,Summer,483,33,6.0,Tomato
Clay,2.97,276,Rainfed,45,Kharif,631,34,5.9,Cotton
Loamy,3.59,1360,Flood,28,Summer,1064,37,8.4,Onion
Loamy,7.08,438,Sprinkler,28,Kharif,728,40,6.1,Rice
Clay,4.46,726,Rainfed,171,Rabi,633,32,7.5,Sugarcane
Clay,0.59,1256,Rainfed,174,Summer,334,29,8.1,Rice
Loamy,7.66,1342,Rainfed,94,Kharif,1144,24,6.5,Cotton
Sandy,9.65,267,Flood,140,Summer,873,36,8.4,Pulses
Silty,3.05,1327,Rainfed,163,Kharif,182,27,7.1,Maize
Sandy,3.69,1380,Drip,50,Rabi,1156,27,7.1,Tomato
Clay,1.08,410,Flood,99,Kharif,653,19,8.4,Cotton
Clay,4.47,951,Rainfed,150,Kharif,218,27,6.6,Rice
Peaty,4.52,259,Drip,170,Summer,177,20,8.1,Tomato
Silty,3.67,324,Drip,46,Summer,1137,36,6.3,Tomato
Silty,4.78,591,Flood,95,Summer,1019,38,7.3,Onion
Silty,6.11,591,Drip,26,Kharif,637,31,8.3,Rice
Peaty,1.86,783,Drip,70,Rabi,998,26,5.5,Rice
Silty,2.85,372,Flood,104,Summer,364,22,6.6,Onion
Silty,1.7,369,Sprinkler,71,Summer,470,18,8.4,Tomato
Sandy,7.22,1307,Flood,33,Summer,1153,29,8.2,Tomato
Clay,4.49,502,Rainfed,60,Rabi,309,33,5.6,Tomato
Silty,6.57,812,Rainfed,98,Rabi,791,34,6.8,Onion
Loamy,2.36,953,Sprinkler,81,Rabi,394,21,7.6,Wheat
Peaty,8.32,990,Drip,78,Summer,156,31,6.6,Tomato
Clay,1.32,558,Flood,38,Rabi,643,20,7.7,Rice
Sandy,9.29,425,Rainfed,142,Rabi,552,37,6.3,Pulses
Clay,3.24,558,Sprinkler,107,Summer,490,19,5.7,Tomato
Sandy,5.48,847,Flood,34,Rabi,991,38,6.1,Tomato
Loamy,1.24,629,Rainfed,134,Kharif,1191,20,5.6,Rice
Clay,2.59,1496,Drip,77,Rabi,1074,32,7.9,Rice
Clay,6.07,1024,Sprinkler,21,Kharif,708,20,5.9,Rice
Silty,2.29,915,Flood,28,Summer,780,21,7.3,Tomato
Silty,9.52,422,Sprinkler,193,Kharif,553,30,7.0,Maize
Peaty,9.36,715,Sprinkler,64,Kharif,954,31,7.8,Rice
Silty,5.09,427,Flood,20,Summer,211,35,5.7,Tomato
Silty,8.44,601,Drip,172,Kharif,426,23,8.3,Cotton
Clay,9.88,683,Sprinkler,154,Rabi,222,38,6.6,Cotton
Clay,6.94,538,Sprinkler,173,Kharif,442,18,5.5,Cotton
Clay,4.7,684,Rainfed,133,Rabi,819,40,6.9,Wheat
Silty,7.64,1384,Flood,97,Summer,1077,36,7.0,Onion
Sandy,4.25,1228,Sprinkler,62,Kharif,461,31,6.1,Cotton
Loamy,4.46,1089,Flood,190,Kharif,984,20,7.7,Cotton
Clay,2.71,1387,Drip,170,Kharif,1044,21,8.5,Rice
Loamy,3.12,1465,Rainfed,161,Summer,164,22,5.6,Tomato
Silty,7.19,1159,Drip,147,Rabi,461,26,6.2,Onion
Silty,3.15,1362,Sprinkler,194,Rabi,369,21,5.5,Wheat
Peaty,3.87,226,Rainfed,72,Rabi,189,36,7.6,Pulses
Silty,8.8,818,Rainfed,152,Kharif,976,22,6.7,Rice
Sandy,2.51,352,Rainfed,44,Rabi,1145,40,7.7,Pulses
Peaty,1.71,212,Sprinkler,66,Kharif,382,27,7.6,Cotton
Sandy,6.35,1027,Sprinkler,60,Rabi,329,33,6.9,Onion
Silty,3.49,1262,Sprinkler,36,Rabi,538,22,6.1,Wheat
Loamy,5.38,528,Sprinkler,48,Kharif,828,40,6.3,Rice
Silty,7.12,549,Sprinkler,68,Rabi,995,19,7.1,Cotton
Loamy,7.26,1228,Drip,147,Rabi,1128,21,7.0,Wheat
Loamy,3.24,546,Drip,182,Rabi,1068,37,5.8,Wheat
Peaty,0.55,1477,Sprinkler,69,Summer,794,20,7.1,Onion
Peaty,6.45,244,Sprinkler,150,Kharif,631,24,6.1,Rice
Silty,9.58,244,Drip,118,Kharif,949,28,8.0,Rice
Loamy,0.73,810,Drip,93,Kharif,596,20,6.2,Cotton
Loamy,3.49,720,Rainfed,42,Kharif,757,30,6.4,Cotton
Loamy,7.78,680,Flood,169,Summer,774,24,6.8,Onion
Peaty,8.16,1338,Drip,152,Summer,683,31,7.3,Onion
Sandy,1.13,1417,Flood,73,Summer,484,40,8.0,Onion
Loamy,4.43,224,Drip,31,Kharif,624,33,7.6,Maize
Loamy,6.32,1114,Rainfed,125,Kharif,749,37,5.7,Rice
Sandy,4.94,1111,Flood,149,Rabi,1124,27,8.5,Maize
Silty,8.72,725,Rainfed,133,Kharif,191,29,7.6,Cotton
Peaty,1.28,728,Flood,199,Summer,1164,33,6.5,Onion
Sandy,3.96,602,Rainfed,200,Summer,256,39,8.1,Onion
Silty,4.06,1372,Rainfed,160,Rabi,1189,39,8.3,Maize
Clay,0.75,603,Drip,153,Kharif,433,19,7.8,Rice
Sandy,2.47,703,Rainfed,149,Summer,481,31,7.9,Onion
Clay,8.76,1118,Drip,44,Kharif,1042,37,7.9,Rice
Loamy,5.51,1303,Flood,47,Rabi,664,40,7.2,Wheat
Loamy,6.12,1445,Sprinkler,86,Summer,113,18,7.9,Tomato
Sandy,1.57,652,Flood,169,Summer,652,25,5.6,Onion
Clay,4.55,398,Drip,105,Kharif,677,32,6.3,Rice
Peaty,2.16,1479,Drip,127,Summer,451,34,7.3,Tomato
Clay,2.36,353,Sprinkler,128,Summer,435,26,6.1,Onion
Clay,4.14,326,Flood,120,Kharif,421,18,6.3,Rice
Silty,2.42,605,Sprinkler,136,Summer,928,34,7.8,Onion
Sandy,3.89,1131,Sprinkler,33,Summer,211,39,8.1,Tomato
Peaty,1.2,1322,Sprinkler,60,Summer,784,28,8.2,Onion
Peaty,7.76,206,Rainfed,31,Rabi,773,38,7.5,Sugarcane
Peaty,7.78,974,Rainfed,48,Rabi,106,24,6.4,Rice
Silty,2.75,681,Drip,67,Rabi,1197,31,8.0,Cotton
Peaty,2.96,1224,Flood,71,Kharif,282,35,6.6,Cotton
Silty,1.02,1200,Rainfed,188,Summer,745,39,7.0,Onion
Silty,8.29,347,Sprinkler,133,Summer,548,20,6.6,Tomato
Clay,2.98,1009,Drip,166,Rabi,260,39,7.4,Rice
Loamy,7.89,208,Flood,144,Summer,1007,28,8.4,Tomato
Loamy,8.76,1233,Rainfed,88,Kharif,152,35,6.9,Maize
Clay,8.52,1435,Sprinkler,179,Rabi,581,30,7.0,Rice
Loamy,3.18,342,Sprinkler,195,Kharif,356,36,8.0,Rice
Loamy,9.35,683,Flood,165,Kharif,919,30,6.1,Rice
Silty,2.77,1392,Drip,113,Rabi,263,25,5.9,Rice
Peaty,7.27,1102,Rainfed,162,Kharif,270,20,6.6,Cotton
Sandy,5.15,287,Drip,179,Kharif,727,40,5.9,Pulses
Silty,9.11,685,Drip,81,Rabi,740,35,7.0,Rice
Clay,4.12,325,Drip,64,Kharif,759,18,5.6,Cotton
Loamy,4.49,1107,Sprinkler,160,Kharif,833,28,6.0,Maize
Peaty,1.92,1491,Drip,93,Kharif,509,19,5.9,Cotton
Sandy,0.57,1076,Drip,123,Kharif,582,24,7.6,Rice
Clay,7.13,492,Flood,21,Summer,1126,30,6.0,Tomato
Clay,3.28,595,Drip,114,Rabi,816,20,6.1,Rice
Loamy,5.87,609,Rainfed,183,Summer,552,39,7.1,Tomato
Peaty,4.03,338,Flood,46,Summer,669,31,5.7,Tomato
Silty,9.71,1033,Drip,165,Kharif,251,29,6.6,Cotton
Silty,5.7,928,Drip,134,Kharif,400,23,7.1,Rice
Peaty,9.03,418,Sprinkler,186,Kharif,881,32,7.6,Cotton
Sandy,9.74,1383,Rainfed,175,Rabi,426,19,6.3,Tomato
Clay,8.78,647,Rainfed,162,Summer,972,32,6.4,Tomato
Clay,4.51,1005,Flood,188,Summer,597,30,6.3,Rice
Loamy,3.56,860,Rainfed,182,Summer,868,21,8.0,Onion
Loamy,3.59,1015,Drip,153,Kharif,438,22,6.1,Cotton
Sandy,9.4,662,Rainfed,129,Kharif,1002,35,7.2,Rice
Silty,9.94,545,Sprinkler,97,Summer,622,20,7.6,Onion
Sandy,0.93,1227,Rainfed,85,Summer,1185,39,6.1,Tomato
Peaty,8.85,1022,Rainfed,109,Kharif,633,30,7.1,Maize
Clay,8.41,461,Flood,140,Rabi,239,19,5.9,Tomato
Clay,9.46,1014,Sprinkler,63,Kharif,339,18,8.2,Rice
Silty,3.64,480,Drip,99,Rabi,130,24,7.4,Rice
Sandy,6.03,1124,Drip,172,Rabi,1055,38,6.2,Cotton
Peaty,4.98,859,Flood,100,Rabi,366,30,7.6,Maize
Sandy,5.2,207,Rainfed,141,Summer,812,28,7.6,Pulses
Clay,2.76,1433,Sprinkler,78,Rabi,245,36,7.4,Rice
